leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Aplopelia_larvata_ott3596487,No status,no_domain,no_kingdom,no_phylum,1000,10.691609,0.062863,0.580161,7.284903,27.958304,27.958304,27.961100,27.961100,27.961100,27.961100,27.961100,27.961100,0.382374,0.002248,0.020749,0.260537,0.999900,0.999900
Charadrius_morinellus_ott238463,No status,no_domain,no_kingdom,no_phylum,1000,10.681203,0.053466,0.694738,6.590789,29.042295,29.042295,29.045200,29.045200,29.045200,29.045200,29.045200,29.045200,0.367744,0.001841,0.023919,0.226915,0.999900,0.999900
Bucorvus_leadbeateri_ott814836,No status,no_domain,no_kingdom,no_phylum,1000,10.663497,0.104914,0.575979,7.056272,28.713828,29.951922,27.849449,26.189185,26.249866,27.759362,29.886371,30.044092,0.382660,0.004001,0.021014,0.255822,0.999900,0.999900
Chordata_environmental_sample_ott4940725,No status,no_domain,no_kingdom,no_phylum,1000,10.564972,0.050020,0.576655,7.305720,27.170683,27.170683,27.173400,27.173400,27.173400,27.173400,27.173400,27.173400,0.388798,0.001841,0.021221,0.268856,0.999900,0.999900
Threskiornis_bernieri_ott3596714,EN,no_domain,no_kingdom,no_phylum,1000,10.534215,6.943161,7.414547,10.368515,14.432270,15.080697,21.168487,20.160142,20.196863,21.228756,21.959358,21.999807,0.497606,0.342596,0.353035,0.485855,0.677516,0.689099
Balaeniceps_rex_ott464697,VU,no_domain,no_kingdom,no_phylum,1000,10.440550,7.313693,7.385038,10.158562,14.489422,14.713665,42.979000,42.979000,42.979000,42.979000,42.979000,42.979000,0.242922,0.170169,0.171829,0.236361,0.337128,0.342345
Columba_argentina_ott3596492,CR,no_domain,no_kingdom,no_phylum,1000,10.317958,7.513375,7.895654,10.868880,11.834265,12.090117,11.297688,10.721988,10.800251,11.269183,11.919482,12.091326,0.913311,0.689585,0.704312,0.987027,0.999900,0.999900
Atlantisia_podarces_ott3599991,No status,no_domain,no_kingdom,no_phylum,1000,10.221284,0.073680,0.573489,6.773775,30.467950,44.698632,26.841064,24.220291,24.252285,25.276856,40.013102,44.703102,0.377414,0.002180,0.021891,0.258711,0.999900,0.999900
Papasula_abbotti_ott117726,EN,no_domain,no_kingdom,no_phylum,1000,10.038318,6.897303,6.998918,9.898482,13.587880,13.863287,20.125100,20.125100,20.125100,20.125100,20.125100,20.125100,0.498796,0.342721,0.347771,0.491848,0.675171,0.688856
Ardea_plumifera_ott6520872,No status,no_domain,no_kingdom,no_phylum,1000,10.002826,0.110511,0.479435,7.002256,27.163073,27.163073,27.165790,27.165790,27.165790,27.165790,27.165790,27.165790,0.368214,0.004068,0.017648,0.257760,0.999900,0.999900
