ott,status_code
1019927,LC
1019963,LC
101999,DD
1020010,LC
102004,LC
1020048,LC
1020064,DD
1020069,VU
1020072,CR
1020073,LC
1020074,LC
1020079,NT
1020081,EN
102009,LC
1020124,LC
1020127,LC
1020134,LC
1020140,LC
1020254,EN
1020262,LC
1020295,LC
1020299,LC
1020353,EN
1020371,NT
1020421,LC
1020424,LC
1020494,LC
1020499,LC
1020517,LC
102055,LC
102064,LC
1020653,LC
102066,LC
102068,LC
1020687,LC
1020693,LC
10207,VU
1020717,LC
1020726,LC
1020735,LC
1020736,LC
1020745,LC
1020755,LC
1020779,LC
1020782,LC
1020784,LC
1020792,LC
1020856,LC
1020858,LC
1020881,LC
1020905,LC
1020908,LC
1020911,LC
1020913,NT
1020938,CR
1020954,LC
1020998,LC
1021038,LC
1021126,LC
1021138,EN
1021141,LC
1021148,LC
1021155,DD
1021212,CR
1021249,LC
1021251,LC
1021266,LC
1021336,LC
1021362,VU
1021369,LC
1021371,LC
1021373,DD
1021375,LC
1021385,LC
1021387,LC
1021390,LC
1021392,LC
1021398,LC
1021403,LC
1021407,LC
1021412,LC
1021415,LC
1021419,LC
1021430,VU
10216,LC
1021629,VU
1021636,NT
1021639,EN
1021654,LC
1021706,LC
1021734,LC
1021755,VU
1021774,CR
1021789,LC
1021794,LC
1021801,VU
1021830,LC
1021833,DD
1021848,LC
1021869,LC
1021915,NT
1021946,CR
1021956,LC
1021960,LC
1021962,LC
1021964,LC
1021966,LC
1021979,LC
1021981,LC
1021984,VU
1021985,LC
1021989,LC
1021991,LC
1021992,LR/cd
1022024,VU
1022065,EN
1022070,LC
1022077,LC
1022079,EN
1022121,EN
1022134,LC
1022167,LC
1022186,NT
1022192,LC
1022198,EN
10222,LC
1022203,VU
1022206,LC
1022227,LC
1022262,LC
1022265,LC
1022358,LC
1022368,NT
1022374,LC
1022399,CR
10224,LC
1022502,LC
1022521,NT
1022522,LC
1022532,LC
1022535,NT
1022591,LC
1022596,LC
1022605,LC
1022610,LC
1022613,LC
1022616,LC
1022617,VU
1022625,LC
1022628,LC
1022629,EN
1022630,EN
1022668,LC
1022691,NT
1022696,LC
10227,LC
1022701,NT
1022708,NT
1022738,EN
1022748,EN
1022777,LC
10229,LC
1022920,LC
1022922,DD
1022924,DD
1022938,LC
1022944,LC
1022984,LC
1022998,LC
1023000,LC
1023004,LC
1023006,LC
1023010,VU
1023032,LC
1023106,LC
1023110,LR/lc
1023113,LC
1023115,LC
1023125,LC
1023127,NT
1023130,LC
1023131,LC
1023132,LC
1023133,LC
1023134,LC
1023140,LC
1023154,LC
1023160,LC
1023162,LC
1023175,VU
1023181,LC
1023230,LC
1023253,LC
1023255,LC
1023259,LC
1023341,LC
1023365,LC
1023367,LC
1023412,LC
1023417,NT
1023535,EN
1023551,NT
1023568,EN
1023569,EN
1023570,EN
1023571,EN
1023572,EN
1023573,EN
1023574,EN
1023576,EN
1023597,DD
1023614,CR
102366,EN
102373,VU
1023738,LC
1023753,LC
1023756,EN
1023760,EN
102377,LC
102378,LC
1023866,LC
1023884,CR
1024033,LC
1024034,LC
1024038,LC
1024041,CR
1024042,EN
1024050,VU
1024059,DD
1024069,LC
1024071,LC
1024072,LC
1024073,LC
1024125,NT
1024146,LC
