RL.cat,pext
LC,0.070660148
LC,0.070698538
LC,0.070736914
LC,0.070775278
LC,0.070813628
LC,0.070851966
LC,0.070890291
LC,0.070928603
LC,0.070966902
LC,0.071005188
LC,0.071043461
LC,0.071081722
LC,0.071119969
LC,0.071158204
LC,0.071196426
LC,0.071234635
LC,0.071272832
LC,0.071311016
LC,0.071349187
LC,0.071387345
LC,0.071425491
LC,0.071463624
LC,0.071501744
LC,0.071539851
LC,0.071577946
LC,0.071616029
LC,0.071654098
LC,0.071692155
LC,0.0717302
LC,0.071768231
LC,0.071806251
LC,0.071844257
LC,0.071882251
LC,0.071920233
LC,0.071958202
LC,0.071996159
LC,0.072034103
LC,0.072072034
LC,0.072109953
LC,0.07214786
LC,0.072185754
LC,0.072223636
LC,0.072261505
LC,0.072299362
LC,0.072337207
LC,0.072375039
LC,0.072412859
LC,0.072450667
LC,0.072488462
LC,0.072526245
LC,0.072564015
LC,0.072601773
LC,0.072639519
LC,0.072677253
LC,0.072714974
LC,0.072752684
LC,0.072790381
LC,0.072828065
LC,0.072865738
LC,0.072903398
LC,0.072941046
LC,0.072978682
LC,0.073016306
LC,0.073053918
LC,0.073091518
LC,0.073129105
LC,0.073166681
LC,0.073204244
LC,0.073241795
LC,0.073279335
LC,0.073316862
LC,0.073354377
LC,0.07339188
LC,0.073429371
LC,0.07346685
LC,0.073504318
LC,0.073541773
LC,0.073579216
LC,0.073616647
LC,0.073654067
LC,0.073691474
LC,0.07372887
LC,0.073766254
LC,0.073803626
LC,0.073840986
LC,0.073878334
LC,0.07391567
LC,0.073952995
LC,0.073990307
LC,0.074027608
LC,0.074064898
LC,0.074102175
LC,0.074139441
LC,0.074176695
LC,0.074213937
LC,0.074251167
LC,0.074288386
LC,0.074325593
LC,0.074362789
LC,0.074399973
LC,0.074437145
LC,0.074474305
LC,0.074511454
LC,0.074548592
LC,0.074585718
LC,0.074622832
LC,0.074659934
LC,0.074697026
LC,0.074734105
LC,0.074771173
LC,0.07480823
LC,0.074845275
LC,0.074882308
LC,0.07491933
LC,0.074956341
LC,0.07499334
LC,0.075030328
LC,0.075067305
LC,0.07510427
LC,0.075141223
LC,0.075178165
LC,0.075215096
LC,0.075252016
LC,0.075288924
LC,0.075325821
LC,0.075362706
LC,0.075399581
LC,0.075436444
LC,0.075473296
LC,0.075510136
LC,0.075546965
LC,0.075583783
LC,0.07562059
LC,0.075657386
LC,0.07569417
LC,0.075730943
LC,0.075767706
LC,0.075804457
LC,0.075841196
LC,0.075877925
LC,0.075914643
LC,0.075951349
LC,0.075988045
LC,0.076024729
LC,0.076061403
LC,0.076098065
LC,0.076134716
LC,0.076171356
LC,0.076207986
LC,0.076244604
LC,0.076281211
LC,0.076317808
LC,0.076354393
LC,0.076390968
LC,0.076427531
LC,0.076464084
LC,0.076500626
LC,0.076537157
LC,0.076573677
LC,0.076610186
LC,0.076646684
LC,0.076683172
LC,0.076719648
LC,0.076756114
LC,0.07679257
LC,0.076829014
LC,0.076865448
LC,0.07690187
LC,0.076938283
LC,0.076974684
LC,0.077011075
LC,0.077047455
LC,0.077083824
LC,0.077120183
LC,0.077156531
LC,0.077192868
LC,0.077229195
LC,0.077265511
LC,0.077301817
LC,0.077338112
LC,0.077374397
LC,0.07741067
LC,0.077446934
LC,0.077483187
LC,0.077519429
LC,0.077555661
LC,0.077591882
LC,0.077628093
LC,0.077664293
LC,0.077700483
LC,0.077736663
LC,0.077772832
LC,0.077808991
LC,0.077845139
LC,0.077881277
LC,0.077917404
LC,0.077953521
LC,0.077989628
LC,0.078025725
LC,0.078061811
LC,0.078097887
LC,0.078133953
LC,0.078170008
LC,0.078206053
LC,0.078242088
